sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs
45-A	45-A	1	45-A_S53_L001_R1_001.fastq.gz	45-A_S53_L001_R2_001.fastq.gz	26210	26210	25884	25884
45-B	45-B	1	45-B_S243_L001_R1_001.fastq.gz	45-B_S243_L001_R2_001.fastq.gz	19556	19556	19266	19266
45-C	45-C	1	45-C_S433_L001_R1_001.fastq.gz	45-C_S433_L001_R2_001.fastq.gz	22754	22754	22430	22430
46-A	46-A	1	46-A_S54_L001_R1_001.fastq.gz	46-A_S54_L001_R2_001.fastq.gz	27254	27254	26894	26894
46-B	46-B	1	46-B_S244_L001_R1_001.fastq.gz	46-B_S244_L001_R2_001.fastq.gz	22630	22630	22298	22298
46-C	46-C	1	46-C_S434_L001_R1_001.fastq.gz	46-C_S434_L001_R2_001.fastq.gz	25770	25770	25406	25406
47-A	47-A	1	47-A_S55_L001_R1_001.fastq.gz	47-A_S55_L001_R2_001.fastq.gz	3285	3285	3232	3232
47-B	47-B	1	47-B_S245_L001_R1_001.fastq.gz	47-B_S245_L001_R2_001.fastq.gz	2715	2715	2671	2671
47-C	47-C	1	47-C_S435_L001_R1_001.fastq.gz	47-C_S435_L001_R2_001.fastq.gz	7871	7871	7763	7763
48-A	48-A	1	48-A_S56_L001_R1_001.fastq.gz	48-A_S56_L001_R2_001.fastq.gz	33861	33861	33350	33350
48-B	48-B	1	48-B_S246_L001_R1_001.fastq.gz	48-B_S246_L001_R2_001.fastq.gz	32404	32404	31922	31922
48-C	48-C	1	48-C_S436_L001_R1_001.fastq.gz	48-C_S436_L001_R2_001.fastq.gz	24892	24892	24544	24544
49-A	49-A	1	49-A_S57_L001_R1_001.fastq.gz	49-A_S57_L001_R2_001.fastq.gz	18722	18722	18470	18470
49-B	49-B	1	49-B_S247_L001_R1_001.fastq.gz	49-B_S247_L001_R2_001.fastq.gz	8568	8568	8438	8438
49-C	49-C	1	49-C_S437_L001_R1_001.fastq.gz	49-C_S437_L001_R2_001.fastq.gz	34868	34868	34369	34369
5-A	5-A	1	5-A_S5_L001_R1_001.fastq.gz	5-A_S5_L001_R2_001.fastq.gz	32091	32091	31625	31625
5-B	5-B	1	5-B_S195_L001_R1_001.fastq.gz	5-B_S195_L001_R2_001.fastq.gz	28768	28768	28329	28329
5-C	5-C	1	5-C_S385_L001_R1_001.fastq.gz	5-C_S385_L001_R2_001.fastq.gz	49893	49893	49241	49241
50-A	50-A	1	50-A_S58_L001_R1_001.fastq.gz	50-A_S58_L001_R2_001.fastq.gz	6745	6745	6595	6595
50-B	50-B	1	50-B_S248_L001_R1_001.fastq.gz	50-B_S248_L001_R2_001.fastq.gz	4591	4591	4508	4508
50-C	50-C	1	50-C_S438_L001_R1_001.fastq.gz	50-C_S438_L001_R2_001.fastq.gz	3928	3928	3870	3870
51-A	51-A	1	51-A_S59_L001_R1_001.fastq.gz	51-A_S59_L001_R2_001.fastq.gz	17779	17779	17505	17505
51-B	51-B	1	51-B_S249_L001_R1_001.fastq.gz	51-B_S249_L001_R2_001.fastq.gz	20225	20225	19906	19906
51-C	51-C	1	51-C_S439_L001_R1_001.fastq.gz	51-C_S439_L001_R2_001.fastq.gz	30881	30881	30440	30440
52-A	52-A	1	52-A_S60_L001_R1_001.fastq.gz	52-A_S60_L001_R2_001.fastq.gz	29443	29443	29056	29056
52-B	52-B	1	52-B_S250_L001_R1_001.fastq.gz	52-B_S250_L001_R2_001.fastq.gz	11409	11409	11237	11237
52-C	52-C	1	52-C_S440_L001_R1_001.fastq.gz	52-C_S440_L001_R2_001.fastq.gz	52047	52047	51292	51292
53-A	53-A	1	53-A_S61_L001_R1_001.fastq.gz	53-A_S61_L001_R2_001.fastq.gz	23903	23903	23521	23521
53-B	53-B	1	53-B_S251_L001_R1_001.fastq.gz	53-B_S251_L001_R2_001.fastq.gz	13514	13514	13309	13309
53-C	53-C	1	53-C_S441_L001_R1_001.fastq.gz	53-C_S441_L001_R2_001.fastq.gz	27135	27135	26756	26756
54-A	54-A	1	54-A_S62_L001_R1_001.fastq.gz	54-A_S62_L001_R2_001.fastq.gz	56273	56273	55460	55460
54-B	54-B	1	54-B_S252_L001_R1_001.fastq.gz	54-B_S252_L001_R2_001.fastq.gz	25797	25797	25397	25397
54-C	54-C	1	54-C_S442_L001_R1_001.fastq.gz	54-C_S442_L001_R2_001.fastq.gz	20412	20412	20062	20062
55-A	55-A	1	55-A_S63_L001_R1_001.fastq.gz	55-A_S63_L001_R2_001.fastq.gz	41720	41720	40728	40728
55-B	55-B	1	55-B_S253_L001_R1_001.fastq.gz	55-B_S253_L001_R2_001.fastq.gz	19649	19649	19150	19150
55-C	55-C	1	55-C_S443_L001_R1_001.fastq.gz	55-C_S443_L001_R2_001.fastq.gz	17344	17344	16801	16801
56-A	56-A	1	56-A_S64_L001_R1_001.fastq.gz	56-A_S64_L001_R2_001.fastq.gz	37605	37605	37106	37106
56-B	56-B	1	56-B_S254_L001_R1_001.fastq.gz	56-B_S254_L001_R2_001.fastq.gz	30322	30322	29871	29871
56-C	56-C	1	56-C_S444_L001_R1_001.fastq.gz	56-C_S444_L001_R2_001.fastq.gz	33400	33400	32954	32954
57-A	57-A	1	57-A_S65_L001_R1_001.fastq.gz	57-A_S65_L001_R2_001.fastq.gz	3316	3316	3257	3257
57-B	57-B	1	57-B_S255_L001_R1_001.fastq.gz	57-B_S255_L001_R2_001.fastq.gz	4417	4417	4357	4357
57-C	57-C	1	57-C_S445_L001_R1_001.fastq.gz	57-C_S445_L001_R2_001.fastq.gz	1335	1335	1320	1320
58-A	58-A	1	58-A_S66_L001_R1_001.fastq.gz	58-A_S66_L001_R2_001.fastq.gz	23701	23701	23380	23380
58-B	58-B	1	58-B_S256_L001_R1_001.fastq.gz	58-B_S256_L001_R2_001.fastq.gz	15531	15531	15296	15296
58-C	58-C	1	58-C_S446_L001_R1_001.fastq.gz	58-C_S446_L001_R2_001.fastq.gz	26267	26267	25863	25863
59-A	59-A	1	59-A_S67_L001_R1_001.fastq.gz	59-A_S67_L001_R2_001.fastq.gz	21205	21205	20933	20933
59-B	59-B	1	59-B_S257_L001_R1_001.fastq.gz	59-B_S257_L001_R2_001.fastq.gz	26012	26012	25640	25640
59-C	59-C	1	59-C_S447_L001_R1_001.fastq.gz	59-C_S447_L001_R2_001.fastq.gz	26903	26903	26514	26514
6-A	6-A	1	6-A_S6_L001_R1_001.fastq.gz	6-A_S6_L001_R2_001.fastq.gz	79874	79874	78808	78808
6-B	6-B	1	6-B_S196_L001_R1_001.fastq.gz	6-B_S196_L001_R2_001.fastq.gz	35192	35192	34677	34677
6-C	6-C	1	6-C_S386_L001_R1_001.fastq.gz	6-C_S386_L001_R2_001.fastq.gz	74900	74900	73997	73997
60-A	60-A	1	60-A_S68_L001_R1_001.fastq.gz	60-A_S68_L001_R2_001.fastq.gz	42429	42429	41799	41799
60-B	60-B	1	60-B_S258_L001_R1_001.fastq.gz	60-B_S258_L001_R2_001.fastq.gz	24399	24399	24106	24106
60-C	60-C	1	60-C_S448_L001_R1_001.fastq.gz	60-C_S448_L001_R2_001.fastq.gz	19620	19620	19334	19334
61-A	61-A	1	61-A_S69_L001_R1_001.fastq.gz	61-A_S69_L001_R2_001.fastq.gz	9898	9898	9733	9733
61-B	61-B	1	61-B_S259_L001_R1_001.fastq.gz	61-B_S259_L001_R2_001.fastq.gz	26120	26120	25581	25581
61-C	61-C	1	61-C_S449_L001_R1_001.fastq.gz	61-C_S449_L001_R2_001.fastq.gz	19103	19103	18762	18762
62-A	62-A	1	62-A_S70_L001_R1_001.fastq.gz	62-A_S70_L001_R2_001.fastq.gz	63803	63803	62931	62931
62-B	62-B	1	62-B_S260_L001_R1_001.fastq.gz	62-B_S260_L001_R2_001.fastq.gz	17161	17161	16907	16907
62-C	62-C	1	62-C_S450_L001_R1_001.fastq.gz	62-C_S450_L001_R2_001.fastq.gz	22067	22067	21750	21750
63-A	63-A	1	63-A_S71_L001_R1_001.fastq.gz	63-A_S71_L001_R2_001.fastq.gz	43557	43557	42856	42856
63-B	63-B	1	63-B_S261_L001_R1_001.fastq.gz	63-B_S261_L001_R2_001.fastq.gz	20432	20432	20115	20115
63-C	63-C	1	63-C_S451_L001_R1_001.fastq.gz	63-C_S451_L001_R2_001.fastq.gz	17600	17600	17130	17130
64-A	64-A	1	64-A_S72_L001_R1_001.fastq.gz	64-A_S72_L001_R2_001.fastq.gz	14185	14185	13956	13956
64-B	64-B	1	64-B_S262_L001_R1_001.fastq.gz	64-B_S262_L001_R2_001.fastq.gz	681	681	663	663
64-C	64-C	1	64-C_S452_L001_R1_001.fastq.gz	64-C_S452_L001_R2_001.fastq.gz	6796	6796	6700	6700
65-A	65-A	1	65-A_S73_L001_R1_001.fastq.gz	65-A_S73_L001_R2_001.fastq.gz	17698	17698	17453	17453
65-B	65-B	1	65-B_S263_L001_R1_001.fastq.gz	65-B_S263_L001_R2_001.fastq.gz	12055	12055	11868	11868
65-C	65-C	1	65-C_S453_L001_R1_001.fastq.gz	65-C_S453_L001_R2_001.fastq.gz	16907	16907	16654	16654
66-A	66-A	1	66-A_S74_L001_R1_001.fastq.gz	66-A_S74_L001_R2_001.fastq.gz	20159	20159	19893	19893
66-B	66-B	1	66-B_S264_L001_R1_001.fastq.gz	66-B_S264_L001_R2_001.fastq.gz	12373	12373	12189	12189
66-C	66-C	1	66-C_S454_L001_R1_001.fastq.gz	66-C_S454_L001_R2_001.fastq.gz	24246	24246	23869	23869
67-A	67-A	1	67-A_S75_L001_R1_001.fastq.gz	67-A_S75_L001_R2_001.fastq.gz	21377	21377	21075	21075
67-B	67-B	1	67-B_S265_L001_R1_001.fastq.gz	67-B_S265_L001_R2_001.fastq.gz	18338	18338	18077	18077
67-C	67-C	1	67-C_S455_L001_R1_001.fastq.gz	67-C_S455_L001_R2_001.fastq.gz	26308	26308	25928	25928
68-A	68-A	1	68-A_S76_L001_R1_001.fastq.gz	68-A_S76_L001_R2_001.fastq.gz	21483	21483	21190	21190
68-B	68-B	1	68-B_S266_L001_R1_001.fastq.gz	68-B_S266_L001_R2_001.fastq.gz	13546	13546	13353	13353
68-C	68-C	1	68-C_S456_L001_R1_001.fastq.gz	68-C_S456_L001_R2_001.fastq.gz	40715	40715	40167	40167
69-A	69-A	1	69-A_S77_L001_R1_001.fastq.gz	69-A_S77_L001_R2_001.fastq.gz	19980	19980	19676	19676
69-B	69-B	1	69-B_S267_L001_R1_001.fastq.gz	69-B_S267_L001_R2_001.fastq.gz	18453	18453	18193	18193
69-C	69-C	1	69-C_S457_L001_R1_001.fastq.gz	69-C_S457_L001_R2_001.fastq.gz	28852	28852	28436	28436
7-A	7-A	1	7-A_S7_L001_R1_001.fastq.gz	7-A_S7_L001_R2_001.fastq.gz	9356	9356	9222	9222
