sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2
24-B	24-B	1	24-B_S214_L001_R1_001.fastq.gz	24-B_S214_L001_R2_001.fastq.gz	26932	26932
24-C	24-C	1	24-C_S404_L001_R1_001.fastq.gz	24-C_S404_L001_R2_001.fastq.gz	27734	27734
25-A	25-A	1	25-A_S25_L001_R1_001.fastq.gz	25-A_S25_L001_R2_001.fastq.gz	29856	29856
25-A2	25-A2	1	25-A2_S33_L001_R1_001.fastq.gz	25-A2_S33_L001_R2_001.fastq.gz	24178	24178
25-B	25-B	1	25-B_S215_L001_R1_001.fastq.gz	25-B_S215_L001_R2_001.fastq.gz	20745	20745
25-B2	25-B2	1	25-B2_S223_L001_R1_001.fastq.gz	25-B2_S223_L001_R2_001.fastq.gz	32761	32761
25-C	25-C	1	25-C_S405_L001_R1_001.fastq.gz	25-C_S405_L001_R2_001.fastq.gz	24072	24072
25-C2	25-C2	1	25-C2_S413_L001_R1_001.fastq.gz	25-C2_S413_L001_R2_001.fastq.gz	104202	104202
26-A	26-A	1	26-A_S26_L001_R1_001.fastq.gz	26-A_S26_L001_R2_001.fastq.gz	261373	261373
26-A2	26-A2	1	26-A2_S34_L001_R1_001.fastq.gz	26-A2_S34_L001_R2_001.fastq.gz	13441	13441
26-B	26-B	1	26-B_S216_L001_R1_001.fastq.gz	26-B_S216_L001_R2_001.fastq.gz	22542	22542
26-B2	26-B2	1	26-B2_S224_L001_R1_001.fastq.gz	26-B2_S224_L001_R2_001.fastq.gz	29243	29243
26-C	26-C	1	26-C_S406_L001_R1_001.fastq.gz	26-C_S406_L001_R2_001.fastq.gz	19602	19602
26-C2	26-C2	1	26-C2_S414_L001_R1_001.fastq.gz	26-C2_S414_L001_R2_001.fastq.gz	48905	48905
27-A	27-A	1	27-A_S27_L001_R1_001.fastq.gz	27-A_S27_L001_R2_001.fastq.gz	75530	75530
27-A2	27-A2	1	27-A2_S35_L001_R1_001.fastq.gz	27-A2_S35_L001_R2_001.fastq.gz	41299	41299
27-B	27-B	1	27-B_S217_L001_R1_001.fastq.gz	27-B_S217_L001_R2_001.fastq.gz	13656	13656
27-B2	27-B2	1	27-B2_S225_L001_R1_001.fastq.gz	27-B2_S225_L001_R2_001.fastq.gz	26196	26196
27-C	27-C	1	27-C_S407_L001_R1_001.fastq.gz	27-C_S407_L001_R2_001.fastq.gz	29642	29642
27-C2	27-C2	1	27-C2_S415_L001_R1_001.fastq.gz	27-C2_S415_L001_R2_001.fastq.gz	63236	63236
28-A	28-A	1	28-A_S28_L001_R1_001.fastq.gz	28-A_S28_L001_R2_001.fastq.gz	60023	60023
28-A2	28-A2	1	28-A2_S36_L001_R1_001.fastq.gz	28-A2_S36_L001_R2_001.fastq.gz	30370	30370
28-B	28-B	1	28-B_S218_L001_R1_001.fastq.gz	28-B_S218_L001_R2_001.fastq.gz	14976	14976
28-B2	28-B2	1	28-B2_S226_L001_R1_001.fastq.gz	28-B2_S226_L001_R2_001.fastq.gz	20937	20937
28-C	28-C	1	28-C_S408_L001_R1_001.fastq.gz	28-C_S408_L001_R2_001.fastq.gz	23629	23629
28-C2	28-C2	1	28-C2_S416_L001_R1_001.fastq.gz	28-C2_S416_L001_R2_001.fastq.gz	76556	76556
29-A	29-A	1	29-A_S29_L001_R1_001.fastq.gz	29-A_S29_L001_R2_001.fastq.gz	16885	16885
29-A2	29-A2	1	29-A2_S37_L001_R1_001.fastq.gz	29-A2_S37_L001_R2_001.fastq.gz	19076	19076
29-B	29-B	1	29-B_S219_L001_R1_001.fastq.gz	29-B_S219_L001_R2_001.fastq.gz	890	890
29-B2	29-B2	1	29-B2_S227_L001_R1_001.fastq.gz	29-B2_S227_L001_R2_001.fastq.gz	10090	10090
29-C	29-C	1	29-C_S409_L001_R1_001.fastq.gz	29-C_S409_L001_R2_001.fastq.gz	5128	5128
29-C2	29-C2	1	29-C2_S417_L001_R1_001.fastq.gz	29-C2_S417_L001_R2_001.fastq.gz	13662	13662
3-A	3-A	1	3-A_S3_L001_R1_001.fastq.gz	3-A_S3_L001_R2_001.fastq.gz	27713	27713
3-B	3-B	1	3-B_S193_L001_R1_001.fastq.gz	3-B_S193_L001_R2_001.fastq.gz	25145	25145
3-C	3-C	1	3-C_S383_L001_R1_001.fastq.gz	3-C_S383_L001_R2_001.fastq.gz	40186	40186
30-A	30-A	1	30-A_S30_L001_R1_001.fastq.gz	30-A_S30_L001_R2_001.fastq.gz	38855	38855
30-A2	30-A2	1	30-A2_S38_L001_R1_001.fastq.gz	30-A2_S38_L001_R2_001.fastq.gz	24761	24761
30-B	30-B	1	30-B_S220_L001_R1_001.fastq.gz	30-B_S220_L001_R2_001.fastq.gz	95526	95526
30-B2	30-B2	1	30-B2_S228_L001_R1_001.fastq.gz	30-B2_S228_L001_R2_001.fastq.gz	19963	19963
30-C	30-C	1	30-C_S410_L001_R1_001.fastq.gz	30-C_S410_L001_R2_001.fastq.gz	29411	29411
30-C2	30-C2	1	30-C2_S418_L001_R1_001.fastq.gz	30-C2_S418_L001_R2_001.fastq.gz	67367	67367
31-A	31-A	1	31-A_S31_L001_R1_001.fastq.gz	31-A_S31_L001_R2_001.fastq.gz	40860	40860
31-A2	31-A2	1	31-A2_S39_L001_R1_001.fastq.gz	31-A2_S39_L001_R2_001.fastq.gz	28209	28209
31-B	31-B	1	31-B_S221_L001_R1_001.fastq.gz	31-B_S221_L001_R2_001.fastq.gz	58437	58437
31-B2	31-B2	1	31-B2_S229_L001_R1_001.fastq.gz	31-B2_S229_L001_R2_001.fastq.gz	24165	24165
31-C	31-C	1	31-C_S411_L001_R1_001.fastq.gz	31-C_S411_L001_R2_001.fastq.gz	30166	30166
31-C2	31-C2	1	31-C2_S419_L001_R1_001.fastq.gz	31-C2_S419_L001_R2_001.fastq.gz	152395	152395
32-A	32-A	1	32-A_S32_L001_R1_001.fastq.gz	32-A_S32_L001_R2_001.fastq.gz	40878	40878
32-A2	32-A2	1	32-A2_S40_L001_R1_001.fastq.gz	32-A2_S40_L001_R2_001.fastq.gz	26627	26627
32-B	32-B	1	32-B_S222_L001_R1_001.fastq.gz	32-B_S222_L001_R2_001.fastq.gz	95703	95703
32-B2	32-B2	1	32-B2_S230_L001_R1_001.fastq.gz	32-B2_S230_L001_R2_001.fastq.gz	21433	21433
32-C	32-C	1	32-C_S412_L001_R1_001.fastq.gz	32-C_S412_L001_R2_001.fastq.gz	24518	24518
32-C2	32-C2	1	32-C2_S420_L001_R1_001.fastq.gz	32-C2_S420_L001_R2_001.fastq.gz	68236	68236
33-A	33-A	1	33-A_S41_L001_R1_001.fastq.gz	33-A_S41_L001_R2_001.fastq.gz	13332	13332
33-B	33-B	1	33-B_S231_L001_R1_001.fastq.gz	33-B_S231_L001_R2_001.fastq.gz	18757	18757
33-C	33-C	1	33-C_S421_L001_R1_001.fastq.gz	33-C_S421_L001_R2_001.fastq.gz	18105	18105
34-A	34-A	1	34-A_S42_L001_R1_001.fastq.gz	34-A_S42_L001_R2_001.fastq.gz	18002	18002
34-B	34-B	1	34-B_S232_L001_R1_001.fastq.gz	34-B_S232_L001_R2_001.fastq.gz	36712	36712
34-C	34-C	1	34-C_S422_L001_R1_001.fastq.gz	34-C_S422_L001_R2_001.fastq.gz	31780	31780
35-A	35-A	1	35-A_S43_L001_R1_001.fastq.gz	35-A_S43_L001_R2_001.fastq.gz	20900	20900
35-B	35-B	1	35-B_S233_L001_R1_001.fastq.gz	35-B_S233_L001_R2_001.fastq.gz	27935	27935
35-C	35-C	1	35-C_S423_L001_R1_001.fastq.gz	35-C_S423_L001_R2_001.fastq.gz	35103	35103
36-A	36-A	1	36-A_S44_L001_R1_001.fastq.gz	36-A_S44_L001_R2_001.fastq.gz	17566	17566
36-B	36-B	1	36-B_S234_L001_R1_001.fastq.gz	36-B_S234_L001_R2_001.fastq.gz	1171	1171
36-C	36-C	1	36-C_S424_L001_R1_001.fastq.gz	36-C_S424_L001_R2_001.fastq.gz	7772	7772
37-A	37-A	1	37-A_S45_L001_R1_001.fastq.gz	37-A_S45_L001_R2_001.fastq.gz	4188	4188
37-B	37-B	1	37-B_S235_L001_R1_001.fastq.gz	37-B_S235_L001_R2_001.fastq.gz	2830	2830
37-C	37-C	1	37-C_S425_L001_R1_001.fastq.gz	37-C_S425_L001_R2_001.fastq.gz	9767	9767
38-A	38-A	1	38-A_S46_L001_R1_001.fastq.gz	38-A_S46_L001_R2_001.fastq.gz	25539	25539
38-B	38-B	1	38-B_S236_L001_R1_001.fastq.gz	38-B_S236_L001_R2_001.fastq.gz	16652	16652
38-C	38-C	1	38-C_S426_L001_R1_001.fastq.gz	38-C_S426_L001_R2_001.fastq.gz	27442	27442
39-A	39-A	1	39-A_S47_L001_R1_001.fastq.gz	39-A_S47_L001_R2_001.fastq.gz	15806	15806
39-B	39-B	1	39-B_S237_L001_R1_001.fastq.gz	39-B_S237_L001_R2_001.fastq.gz	22422	22422
39-C	39-C	1	39-C_S427_L001_R1_001.fastq.gz	39-C_S427_L001_R2_001.fastq.gz	23056	23056
4-A	4-A	1	4-A_S4_L001_R1_001.fastq.gz	4-A_S4_L001_R2_001.fastq.gz	70817	70817
4-B	4-B	1	4-B_S194_L001_R1_001.fastq.gz	4-B_S194_L001_R2_001.fastq.gz	74240	74240
4-C	4-C	1	4-C_S384_L001_R1_001.fastq.gz	4-C_S384_L001_R2_001.fastq.gz	66643	66643
40-A	40-A	1	40-A_S48_L001_R1_001.fastq.gz	40-A_S48_L001_R2_001.fastq.gz	30084	30084
40-B	40-B	1	40-B_S238_L001_R1_001.fastq.gz	40-B_S238_L001_R2_001.fastq.gz	30835	30835
40-C	40-C	1	40-C_S428_L001_R1_001.fastq.gz	40-C_S428_L001_R2_001.fastq.gz	26087	26087
41-A	41-A	1	41-A_S49_L001_R1_001.fastq.gz	41-A_S49_L001_R2_001.fastq.gz	16255	16255
41-B	41-B	1	41-B_S239_L001_R1_001.fastq.gz	41-B_S239_L001_R2_001.fastq.gz	5793	5793
41-C	41-C	1	41-C_S429_L001_R1_001.fastq.gz	41-C_S429_L001_R2_001.fastq.gz	40849	40849
42-A	42-A	1	42-A_S50_L001_R1_001.fastq.gz	42-A_S50_L001_R2_001.fastq.gz	16349	16349
42-B	42-B	1	42-B_S240_L001_R1_001.fastq.gz	42-B_S240_L001_R2_001.fastq.gz	67415	67415
42-C	42-C	1	42-C_S430_L001_R1_001.fastq.gz	42-C_S430_L001_R2_001.fastq.gz	14898	14898
43-A	43-A	1	43-A_S51_L001_R1_001.fastq.gz	43-A_S51_L001_R2_001.fastq.gz	6275	6275
43-B	43-B	1	43-B_S241_L001_R1_001.fastq.gz	43-B_S241_L001_R2_001.fastq.gz	705	705
43-C	43-C	1	43-C_S431_L001_R1_001.fastq.gz	43-C_S431_L001_R2_001.fastq.gz	11872	11872
44-A	44-A	1	44-A_S52_L001_R1_001.fastq.gz	44-A_S52_L001_R2_001.fastq.gz	18940	18940
44-B	44-B	1	44-B_S242_L001_R1_001.fastq.gz	44-B_S242_L001_R2_001.fastq.gz	642	642
44-C	44-C	1	44-C_S432_L001_R1_001.fastq.gz	44-C_S432_L001_R2_001.fastq.gz	25872	25872
45-A	45-A	1	45-A_S53_L001_R1_001.fastq.gz	45-A_S53_L001_R2_001.fastq.gz	26210	26210
45-B	45-B	1	45-B_S243_L001_R1_001.fastq.gz	45-B_S243_L001_R2_001.fastq.gz	19556	19556
45-C	45-C	1	45-C_S433_L001_R1_001.fastq.gz	45-C_S433_L001_R2_001.fastq.gz	22754	22754
46-A	46-A	1	46-A_S54_L001_R1_001.fastq.gz	46-A_S54_L001_R2_001.fastq.gz	27254	27254
46-B	46-B	1	46-B_S244_L001_R1_001.fastq.gz	46-B_S244_L001_R2_001.fastq.gz	22630	22630
46-C	46-C	1	46-C_S434_L001_R1_001.fastq.gz	46-C_S434_L001_R2_001.fastq.gz	25770	25770
47-A	47-A	1	47-A_S55_L001_R1_001.fastq.gz	47-A_S55_L001_R2_001.fastq.gz	3285	3285
47-B	47-B	1	47-B_S245_L001_R1_001.fastq.gz	47-B_S245_L001_R2_001.fastq.gz	2715	2715
47-C	47-C	1	47-C_S435_L001_R1_001.fastq.gz	47-C_S435_L001_R2_001.fastq.gz	7871	7871
48-A	48-A	1	48-A_S56_L001_R1_001.fastq.gz	48-A_S56_L001_R2_001.fastq.gz	33861	33861
48-B	48-B	1	48-B_S246_L001_R1_001.fastq.gz	48-B_S246_L001_R2_001.fastq.gz	32404	32404
48-C	48-C	1	48-C_S436_L001_R1_001.fastq.gz	48-C_S436_L001_R2_001.fastq.gz	24892	24892
49-A	49-A	1	49-A_S57_L001_R1_001.fastq.gz	49-A_S57_L001_R2_001.fastq.gz	18722	18722
